accuracy,loss,val_accuracy,val_loss,learning_rate
0.4394586980342865,1.3725543022155762,0.4490445852279663,1.5550265312194824,0.0010000000474974513
0.755698025226593,0.6962777376174927,0.5366241931915283,1.100167989730835,0.0010000000474974513
0.8532763719558716,0.4669205844402313,0.7738853693008423,0.6113770008087158,0.0010000000474974513
0.8974359035491943,0.3296787142753601,0.9299362897872925,0.25623631477355957,0.0010000000474974513
0.942307710647583,0.20048123598098755,0.7452229261398315,0.9309356808662415,0.0010000000474974513
0.9480056762695312,0.14887303113937378,0.8694267272949219,0.34331703186035156,0.0010000000474974513
0.9715099930763245,0.10204535722732544,0.8407643437385559,0.5541259050369263,0.0010000000474974513
0.9522792100906372,0.16133320331573486,0.9649681448936462,0.10450351983308792,0.0010000000474974513
0.9608262181282043,0.10158491879701614,0.9968152642250061,0.026334131136536598,0.0010000000474974513
0.9764957427978516,0.0672701746225357,0.8152866363525391,0.7616602778434753,0.0010000000474974513
0.9665242433547974,0.09129788726568222,0.9347133636474609,0.2252439260482788,0.0010000000474974513
0.9715099930763245,0.1675814539194107,0.9856687784194946,0.06396598368883133,0.0010000000474974513
0.9793447256088257,0.08781706541776657,0.7468152642250061,0.8863734602928162,0.0010000000474974513
0.9715099930763245,0.1123032197356224,0.7595541477203369,0.6875043511390686,0.0010000000474974513
0.9629629850387573,0.08976689726114273,0.9474522471427917,0.1563992202281952,0.0010000000474974513
0.9886040091514587,0.03557846322655678,0.9235668778419495,0.3078661561012268,0.0010000000474974513
0.9871794581413269,0.03114917315542698,0.9904458522796631,0.02710842899978161,0.0005000000237487257
0.9878917336463928,0.03374161571264267,0.9840764403343201,0.052053019404411316,0.0005000000237487257
0.9914529919624329,0.03513035923242569,0.987261176109314,0.04145335033535957,0.0005000000237487257
0.9935897588729858,0.018752647563815117,1.0,0.006522070150822401,0.0005000000237487257
0.9928774833679199,0.01699444092810154,0.9952229261398315,0.03244706243276596,0.0005000000237487257
0.994301974773407,0.01702999137341976,1.0,0.004805325530469418,0.0005000000237487257
0.9921652674674988,0.033952753990888596,0.9968152642250061,0.01690969616174698,0.0005000000237487257
0.9971510171890259,0.01599377952516079,1.0,0.002559671876952052,0.0005000000237487257
0.997863233089447,0.013210752047598362,1.0,0.004533815197646618,0.0005000000237487257
0.9935897588729858,0.013526217080652714,0.9856687784194946,0.02295590750873089,0.0005000000237487257
0.9935897588729858,0.01664907857775688,1.0,0.0028341314755380154,0.0005000000237487257
0.9921652674674988,0.027087915688753128,0.9729299545288086,0.06485779583454132,0.0005000000237487257
0.995726466178894,0.011370047926902771,0.9968152642250061,0.01785440370440483,0.0005000000237487257
0.9950142502784729,0.015944447368383408,0.9984076619148254,0.007200279738754034,0.0005000000237487257
0.9935897588729858,0.01732020452618599,0.9968152642250061,0.014738133177161217,0.0005000000237487257
0.9985755085945129,0.007815813645720482,1.0,0.0042266142554581165,0.0002500000118743628
0.995726466178894,0.01979837194085121,0.9792993664741516,0.0675324872136116,0.0002500000118743628
0.995726466178894,0.008868139237165451,0.9984076619148254,0.0031375577673316,0.0002500000118743628
0.995726466178894,0.020718706771731377,0.9585987329483032,0.26882463693618774,0.0002500000118743628
0.9971510171890259,0.009886926971375942,1.0,0.0028525576926767826,0.0002500000118743628
0.995726466178894,0.02760830894112587,0.9442675113677979,0.157596617937088,0.0002500000118743628
0.9914529919624329,0.026241585612297058,0.987261176109314,0.047286175191402435,0.0002500000118743628
0.9985755085945129,0.004955016076564789,0.9952229261398315,0.019298482686281204,0.0001250000059371814
0.995726466178894,0.008596411906182766,0.9920381903648376,0.02301909402012825,0.0001250000059371814
